"Name","Aliases","Disc. Date","Max Date","Mmax","R.A.","Dec.","z","Type","E(B-V)","References"
"SN2015L","SN2015L, ASASSN-15lh","2015/06/14","2015/06/24","-24.925","22:02:15.45,22:02:15.36","-61:39:34.6,-61:39:34.60,-61:39:34.56","0.2326","TDE","0.0304","2014Ap&SS.354...89B,2015arXiv150703010D,2015ATel.7642....1N,2016A&A...594A..13P,2016arXiv160902927L"
"SN2016ezh","SN2016ezh, AT2016ezh, CSS160902:015805-005222, PS16dtm","2016/08/12","2016/09/22","-23","01:58:05.0,01:58:04.74,01:58:04.740","-00:52:22,-00:52:21.74,-00:52:21.7","0.08,0.08","TDE","0.0222","2014Ap&SS.354...89B,2016ATel.9417....1T,2016A&A...594A..13P,2017ApJ...843..106B,2017arXiv170307816B"
"SN2213-1745","SN2213-1745, SN J2213-1745","2005/06/08","2005/11/07","-21.3125","22:13:39.970,22:13:39.9700","-17:45:24.486","2.0458","SLSN-R","0.0242","2012Natur.491..228C,2016A&A...594A..13P,2011ApJ...737..103S"
"iPTF13ehe","iPTF13ehe","2013/10/12","2014/01/18","-21.442","06:53:21.50","+67:07:56.0","0.3434","SLSN-R","0.0434","2015ApJ...814..108Y,2012PASP..124..668Y,2015arXiv150804420Y,2016A&A...594A..13P,2011ApJ...737..103S"
"PISN_Jerkstrand","PISN_Jerkstrand","2016/01/01","","","","","","SLSN-R","","2016MNRAS.455.3207J"
"SN2017err","SN2017err, AT2017err, ATLAS17gxp","2017/06/12","2017/06/12","-20.16","11:11:25.11,11:11:25.110","+00:06:58.58","0.107","SLSN-IIn","0.0302","2016A&A...594A..13P,2011ApJ...737..103S"
"SN1000+0216","SN1000+0216, SN J1000+0216","2006/11/22","2008/02/16","-21.6622","10:00:05.862,10:00:05.8720","+02:16:23.621","3.8993","SLSN-II?","0.0164","2012Natur.491..228C,2016A&A...594A..13P,2011ApJ...737..103S"
"PSN J01510872+3155218","PSN J01510872+3155218, PSN J01510869+3155215","2014/11/20","2014/09/19","-23.8","01:51:08.72,01:51:08.69","+31:55:21.8,+31:55:21.5","0.26","SLSN-II?","0.0448","2016A&A...594A..13P,2014ATel.6750....1O,2011ApJ...737..103S"
"CSS121015:004244+132827","CSS121015:004244+132827","2012/10/15","2012/10/22","-22.806","00:42:44.380,00:42:44.00,00:42:44","+13:28:26.20,+13:28:27.0,+13:28:27","0.2868","SLSN-II","0.0748","2015A&A...579A..40S,2014MNRAS.441..289B,2012ATel.4498....1D,2016A&A...594A..13P,2012ATel.4512....1T"
"LSQ15abl","LSQ15abl","2015/03/19","2015/04/22","-21.8","09:40:29.50","-04:11:32.3","0.087","SLSN-II","0.0372","2014Ap&SS.354...89B,2015ATel.7412....1P,2016A&A...594A..13P,2011ApJ...737..103S"
