Name,Mu,trise,⌧m,B14,Pms,texpl,E(B V),,2⌫,,Template
"",,(days),(days),(⇥1014 G),(ms),(MJD),,,,,
PTF12dam,-21.4,34.8,22.1,0.78,2.82,56044.8,0.17,,2.47,,iPTF13ajg
SN2011ke,-21.3,24.7,30.0,3.63,2.11,55647.5,0.019,,1.27,,SNLS-06D4eu
SN2012il,-21.2,21.2,19.1,3.12,3.52,55912.4,0.19,,1.99,,SCP06F6
SN2010gx,-21.7,24.3,29.6,3.19,1.57,55247.9,0.16,,0.86,,SNLS-06D4eu
PTF09cnd,-22.1,43.4,40.0,0.98,1.72,55024.3,0.02,,0.32,,SNLS-06D4eu
SN2013dg,-21.2,24.0,25.0,3.29,2.96,56415.1,0.15,,0.14,,iPTF13ajg
PTF09atu,-21.7,29.6,19.4,0.98,2.63,55009.2,0.037,,0.63,,iPTF13ajg
PS1-11ap,-21.8,45.9,44.1,1.08,1.99,55540.6,0.094,,0.31,,iPTF13ajg
DES14X3taz,-21.6,49.2,26.6,0.12,1.28,57018.1,0.061,,1.45,,SNLS-06D4eu
DES13S2cmm,-19.9,31.5,21.4,1.14,5.25,56510.0,0.04,,0.46,,SCP06F6
PS1-10bzj,-21.2,22.4,19.3,2.76,3.73,55523.9,0.15,,0.37,,SNLS-06D4eu
iPTF13ajg,-22.4,28.4,26.6,1.45,1.45,56353.8,0.11,,0.22,,iPTF13ajg
PS1-10awh,-21.9,28.7,34.2,2.38,1.48,55461.4,0.01,,0.15,,iPTF13ajg
SNLS-07D2bv,-21.1,28.3,35.2,3.21,2.22,54132.2,0.05,,0.37,,iPTF13ajg
SNLS-06D4eu,-21.9,21.5,29.6,3.70,1.00,53956.1,0.16,,1.20,,SNLS-06D4eu
