Object,R. A.,Dec. Redshift,Type,E(B V )MW,,,Decline time,Reference
"",(J2000),(J2000),,(mag),,,scale ⌧dec (days),
"",,Spectroscopic sample (23),,,,,,
PS1-10bzj,03:31:39.83,27:47:42.2 0.649,SLSN-I,0.01,,,37.3(fast),"[1, 2]"
PS1-11ap,10:48:27.73,+57:09:09.2 0.524,SLSN-I,0.01,,,87.9 (slow),"[2, 3]"
PTF09cnd,16:12:08.94,+51:29:16.1 0.258,SLSN-I,0.02,,,75.3 (slow),"[2, 4]"
PTF10heh,12:48:52.04,+13:26:24.5 0.338,SLSN-IIn,0.02,,,· · ·,[5]
PTF10hgi,16:37:47.04,+06:12:32.3 0.099,SLSN-I,0.07,,,35.6 (fast),"[2, 6, 7]"
PTF10qaf,23:35:42.89,+10:46:32.9 0.284,SLSN-IIn,0.07,,,· · ·,[8]
PTF10vqv,03:03:06.84,01:32:34.9 0.452,SLSN-I,0.06,,,· · ·,[9]
PTF11dsf,16:11:33.55,+40:18:03.5 0.385,SLSN-IIn,0.01,,,· · ·,[10]
PTF12dam,14:24:46.20,+46:13:48.3 0.107,SLSN-I,0.01,,,72.5 (slow),"[2, 11]"
SN1999as,09:16:30.86,+13:39:02.2 0.127,SLSN-I,0.03,,,· · ·,"[8, 12]"
SN1999bd,09:30:29.17,+16:26:07.8 0.151,SLSN-IIn,0.03,,,· · ·,"[8, 13]"
SN2006oz,22:08:53.56,+00:53:50.4 0.396,SLSN-I,0.04,,,· · ·,[14]
SN2006tf1,12:46:15.82,+11:25:56.3 0.074,SLSN-IIn,0.02,,,· · ·,[15]
SN2007bi2,13:19:20.00,+08:55:44.0 0.128,SLSN-I,0.02,,,84.5 (slow),"[2, 16, 17]"
SN2008am,12:28:36.25,+15:35:49.1 0.233,SLSN-IIn,0.02,,,· · ·,[18]
SN2009jh3,14:49:10.08,+29:25:11.4 0.349,SLSN-I,0.01,,,60.6 (slow),"[2, 4]"
SN2010gx4,11:25:46.71,08:49:41.4 0.230,SLSN-I,0.03,,,29.1 (fast),"[2, 4, 19]"
SN2010kd,12:08:01.11,+49:13:31.1 0.101,SLSN-I,0.03,,,· · ·,"[20, 21]"
SN2011ke5,13:50:57.77,+26:16:42.8 0.143,SLSN-I,0.01,,,25.7 (fast),"[2, 6]"
SN2011kf6,14:36:57.53,+16:30:56.6 0.245,SLSN-I,0.02,,,28.5 (fast),"[2, 6]"
SN2012il7,09:46:12.91,+19:50:28.7 0.175,SLSN-I,0.02,,,23.2 (fast),"[2, 6]"
