SN name,Redshift (z),Peak Luminosity,Reference
"",,(1044 erg s−1),
DES13S2cmm,0.663,0.63,(Papadopoulos et al. 2015)
DES14X3taz,0.608,2.20,(Smith et al. 2016)
Gaia16apd,0.102,3.01,(Kangas et al. 2016)
LSQ12dlf,0.25,1.03,(Nicholl et al. 2014)
LSQ14mo,0.256,1.09,(Chen et al. 2016)
PS1-10awh,0.908,2.41,(Chomiuk et al. 2011)
PS1-10bzj,0.65,1.07,(Lunnan et al. 2013)
PS1-11ap,0.524,0.72,(McCrum et al. 2014)
PS1-14bj,0.521,0.46,(Lunnan et al. 2016)
PTF10hgi,0.099,0.35,(Inserra et al. 2013)
PTF11rks,0.193,0.47,(Inserra et al. 2013)
PTF12dam,0.108,1.17,(Nicholl et al. 2013)
SN 2010gx,0.231,0.91,(Inserra et al. 2013)
SN 2011ke,0.143,0.81,(Inserra et al. 2013)
SN 2011kf,0.245,3.72,(Inserra et al. 2013)
SN 2012il,0.175,0.80,(Inserra et al. 2013)
SN 2013dg,0.26,0.74,(Nicholl et al. 2014)
SN 2015bn,0.114,2.42,(Nicholl et al. 2016a)
SSS 120810,0.17,1.04,(Nicholl et al. 2014)
