SLSN,Redshift,Reference
PTF10hgi,0.0987,Inserra et al. (2013)
Gaia16apd†,0.102,"Yan et al. (2017a),"
"",,Nicholl et al. (2017a)
"",,Kangas et al. (2017)
PTF12dam†,0.1073,Nicholl et al. (2013)
"",,Chen et al. (2015)
"",,Vreeswijk et al. (2016)
SN2015bn†,0.1136,"Nicholl et al. (2016a,b),"
SN2007bi†,0.1279,Gal-Yam et al. (2009)
SN2011ke,0.1428,Inserra et al. (2013)
SSS120810,0.156,Nicholl et al. (2014)
SN2012il,0.175,Inserra et al. (2013)
PTF11rks,0.1924,Inserra et al. (2013)
iPTF15esb,0.224,Yan et al. (2017b)
SN2010gx,0.2297,"Pastorello et al. (2010),"
"",,Quimby et al. (2011)
SN2011kf,0.245,Inserra et al. (2013)
iPTF16bad,0.2467,Yan et al. (2017b)
LSQ14mo,0.253,Chen et al. (2016b)
LSQ12dlf,0.255,Nicholl et al. (2014)
PTF09cnd,0.2584,Quimby et al. (2011)
SN2013dg,0.265,Nicholl et al. (2014)
SN2005ap,0.2832,Quimby et al. (2007)
iPTF13ehe,0.3434,Yan et al. (2015)
LSQ14bdq*†,0.345,Nicholl et al. (2015a)
PTF09cwl,0.3499,Quimby et al. (2011)
SN2006oz*,0.376,Leloudas et al. (2012)
iPTF13dcc*†,0.5015,Vreeswijk et al. (2016)
PTF09atu,0.5015,Quimby et al. (2011)
PS1-14bj†,0.5215,Lunnan et al. (2016)
PS1-11ap†,0.524,McCrum et al. (2014)
DES14X3taz*,0.608,Smith et al. (2016)
PS1-10bzj,0.650,Lunnan et al. (2013)
DES13S2cmm,0.663,Papadopoulos et al. (2015)
iPTF13ajg,0.740,Vreeswijk et al. (2014)
PS1-10awh,0.908,Chomiuk et al. (2011)
PS1-10ky,0.956,Chomiuk et al. (2011)
PS1-10ahf†,1.1,McCrum et al. (2015)
SCP-06F6,1.189,Barbary et al. (2009)
PS1-10pm*,1.206,McCrum et al. (2015)
SNLS-07D2bv,1.50,Howell et al. (2013)
PS1-11bam,1.565,Berger et al. (2012)
SNLS-06D4eu*,1.588,Howell et al. (2013)
