PTF,RA,Dec,z,Type,AaV
ID,(hh:mm:ss),(◦ :′ :′′),,,(mag)
09as,12:59:15.78,+27:16:38.5,0.1868,I,0.02
09atu,16:30:24.55,+23:38:25.0,0.501,I,0.13
09cnd,16:12:08.94,+51:29:16.2,0.258,I,0.06
09cwl,14:49:10.08,+29:25:11.4,0.349,I,0.04
10aagc,09:39:56.93,+21:43:16.9,0.206,I,0.07
10bfz,12:54:41.27,+15:24:17.0,0.169,I,0.05
10bjp,10:06:34.30,+67:59:19.0,0.359,I,0.17
10cwr,11:25:46.67,−08:49:41.2,0.231,I,0.10
10hgi,16:37:47.04,+06:12:32.3,0.0985,I,0.22
10nmn,15:50:02.79,−07:24:42.1,0.123,I/R,0.42
10uhf,16:52:46.68,+47:36:22.0,0.289,I,0.05
10vqv,03:03:06.84,−01:32:34.9,0.454,I,0.17
10vwg,18:59:32.86,+19:24:25.7,0.19,I/R,1.41
11dij,13:50:57.77,+26:16:42.8,0.143,I,0.03
11hrq,00:51:47.22,−26:25:10.0,0.057,I/R,0.04
11rks,01:39:45.51,+29:55:27.0,0.2,I,0.11
12dam,14:24:46.20,+46:13:48.3,0.1078,I/R,0.03
12gty,16:01:15.23,+21:23:17.4,0.176,I,0.18
12hni,22:31:55.86,−06:47:49.0,0.107,I,0.16
12mxx,22:30:16.68,+27:58:21.9,0.33,I,0.12
13ajg,16:39:03.95,+37:01:38.4,0.74,I,0.04
13bdl,12:36:56.14,+13:07:45.5,0.402,I,0.13
13bjz,10:38:19.83,+24:24:51.0,0.271,I,0.06
13cjq,00:14:27.18,+24:17:08.8,0.396,I,0.13
13dcc,02:57:02.50,−00:18:44.0,0.4305,I/R,0.18
13ehe,06:53:21.50,+67:07:56.0,0.33,I/R,0.14
