Name,ra [deg],dec [deg],l [deg],b [deg],Redshift,Date,Date [MJD],References
SN2008fz,349.07,11.71,89.10,-44.82,0.1330,2008-Sep-22d,54731,Drake et al. (2010a)
SN2009jh,222.29,29.42,44.97,64.05,0.3490,2009-Aug-2d,55045,Drake et al. (2009b)
PTF09atu,247.60,23.64,41.73,40.80,0.5010,2009-Aug-17p,55060,Quimby et al. (2011d)
PTF09cnd,243.04,51.49,80.03,45.37,0.2580,2009-Sep-6p,55080,Chandra et al. (2009)
CSS100217,157.30,40.71,178.77,57.81,0.1470,2010-Feb-17d,55244,Drake et al. (2010b)
PS1-10pm,183.18,46.99,141.37,68.73,1.2060,2010-Feb-24d,55248,McCrum et al. (2015)
SN2010gx,171.44,-8.83,269.96,48.48,0.2300,2010-Mar-13d,55268,Pastorello et al. (2010)
PTF10heh,192.22,13.44,300.29,76.30,0.3380,2010-Apr-4d,55290.3,Quimby et al. (2010a)
PTF10hgi,249.45,6.21,22.46,32.45,0.1000,2010-May-10p,55326.4,Quimby et al. (2013a)
PTF10qa,353.93,10.78,94.56,-47.88,0.2840,2010-Jun-18d,55365,Gal-Yam (2012b)
PS1-10ky,333.41,1.24,63.24,-42.62,0.9558,2010-Jul-20p,55397,Chomiuk et al. (2011)
PS1-10ahf,353.12,-0.36,84.36,-57.20,1.1000,2010-Aug-6d,55414,McCrum et al. (2015)
SN2010hy,284.89,19.41,51.19,7.00,0.1900,2010-Sep-4d,55443,Cenko et al. (2010)
PTF10vqv,45.78,-1.54,179.50,-49.39,0.4520,2010-Sep-16d,55455.5,Quimby et al. (2010b)
SN2010kd,182.00,49.23,140.80,66.37,0.1010,2010-Nov-14d,55514,Vinko et al. (2010)
PS1-10awh,333.62,-0.07,62.04,-43.62,0.9084,2010-Nov-15p,55515,Chomiuk et al. (2011)
PS1-10bzj,52.92,-27.80,223.51,-54.61,0.6490,2011-Jan-2p,55563.7,Lunnan et al. (2013)
PS1-11ap,162.12,57.15,150.32,52.94,0.5240,2011-Feb-21p,55613,McCrum et al. (2014)
PS1-11tt,243.19,54.07,83.53,44.64,1.2830,2011-Apr-24d,55675,Lunnan et al. (2014)
SN2011ke,207.74,26.28,32.65,76.69,0.1430,2011-May-5p,55686.5,Inserra et al. (2013a)
PTF11dsf,242.89,40.30,64.01,46.97,0.3850,2011-May-12d,55693,Quimby et al. (2011a)
PS1-11afv,183.91,48.18,138.89,67.82,1.4070,2011-May-24d,55705,Lunnan et al. (2014)
SN2011kf,219.24,16.52,14.91,63.38,0.2450,2011-Dec-30p,55925.5,Inserra et al. (2013b)
PTF11rks,24.94,29.92,135.25,-31.79,0.1900,2012-Jan-6p,55932.7,Quimby et al. (2011b)
SN2012il,146.55,19.84,212.45,47.15,0.1750,2012-Jan-15p,55941.4,Drake et al. (2013a)
PTF12dam,216.19,46.23,85.12,63.46,0.1070,2012-Jun-10p,56088,Quimby et al. (2012)
LSQ12dlf,27.62,-21.81,194.54,-75.56,0.2550,2012-Jul-29p,56137.3,Smartt et al. (2012)
SSS120810,349.51,-56.16,326.50,-56.49,0.1560,2012-Aug-8p,56147,Wright et al. (2012)
CSS121015,10.68,13.47,119.69,-49.34,0.2868,2012-Oct-25p,56225.5,Tomasella et al. (2012)
iPTF13ajg,249.77,37.03,59.69,41.49,0.7403,2013-Apr-23p,56405.6,Vreeswijk et al. (2014)
SN2013dg,199.67,-7.08,314.83,55.16,0.2650,2013-May-17d,56429.7,Drake et al. (2013b)
SN2013fc,41.29,-55.74,275.20,-54.83,0.0185,2013-Aug-20d,56524,Pignata et al. (2013)
DES13S2cmm,40.64,-1.36,173.57,-52.94,0.6330,2013-Sep-24p,56559.2,Papadopoulos et al. (2013)
SN2013hx,23.89,-57.96,291.83,-58.20,0.1300,2013-Dec-31d,56657,Scalzo et al. (2014)
LSQ14an,193.45,-29.52,303.55,33.34,0.1630,2014-Jan-2d,56659,Leget et al. (2014)
iPTF13ehe,103.34,67.13,148.33,25.03,0.3434,2014-Jan-13p,56670.3,Yan et al. (2015)
LSQ14mo,155.67,-16.92,259.30,33.07,0.2530,2014-Jan-30d,56687,Leloudas et al. (2014)
CSS140222,170.15,30.47,198.00,69.86,0.0330,2014-Feb-22d,56710,Blagorodnova et al. (2014)
LSQ14bdq,150.42,-12.37,251.17,32.95,0.3450,2014-May-23p,56800,Benitez et al. (2014)
PS1-14bj,150.54,3.66,235.53,43.29,0.5215,2014-May-24p,56801.7,Lunnan et al. (2016)
DES14X2byo,35.95,-6.14,173.39,-59.63,0.8690,2014-Oct-25p,56955,Graham et al. (2014)
DES14X3taz,37.02,-4.09,172.20,-57.40,0.6080,2015-Feb-27p,57080,Smith et al. (2016)
LSQ15abl,145.12,-4.19,239.62,34.31,0.0870,2015-Mar-19d,57100,Prajs et al. (2015)
SN2015bn,173.42,0.73,264.46,57.67,0.1136,2015-Mar-21p,57102,Le Guillou et al. (2015)
ASASSN-15lh,330.56,-61.66,330.07,-45.55,0.2326,2015-Jun-5p,57178.5,Dong et al. (2016)
